DriverNumber,FullName,TeamName,GridPosition,Q1_seconds,Q2_seconds,Q3_seconds,RacePosition,Status,Points,TimeDelta,Season,Round,EventName,FinishPosition
55,Carlos Sainz,Renault,9.0,70.227,69.768,69.805,11.0,+1 Lap,0.0,,2017,19,Brazilian Grand Prix,11.0
19,Felipe Massa,Williams,10.0,69.789,69.612,69.841,7.0,Finished,6.0,68.882,2017,19,Brazilian Grand Prix,7.0
31,Esteban Ocon,Force India,11.0,70.168,69.83,,18.0,Accident,0.0,,2017,19,Brazilian Grand Prix,18.0
8,Romain Grosjean,Haas F1 Team,12.0,70.148,69.879,,15.0,+2 Laps,0.0,,2017,19,Brazilian Grand Prix,15.0
2,Stoffel Vandoorne,McLaren,13.0,70.286,70.116,,19.0,Accident,0.0,,2017,19,Brazilian Grand Prix,19.0
20,Kevin Magnussen,Haas F1 Team,14.0,70.521,70.154,,20.0,Accident,0.0,,2017,19,Brazilian Grand Prix,20.0
28,Brendon Hartley,Toro Rosso,15.0,70.625,,,17.0,Engine,0.0,,2017,19,Brazilian Grand Prix,17.0
94,Pascal Wehrlein,Sauber,16.0,70.678,,,14.0,+1 Lap,0.0,,2017,19,Brazilian Grand Prix,14.0
10,Pierre Gasly,Toro Rosso,17.0,70.686,,,12.0,+1 Lap,0.0,,2017,19,Brazilian Grand Prix,12.0
18,Lance Stroll,Williams,18.0,70.776,,,16.0,+2 Laps,0.0,,2017,19,Brazilian Grand Prix,16.0
9,Marcus Ericsson,Sauber,19.0,70.875,,,13.0,+1 Lap,0.0,,2017,19,Brazilian Grand Prix,13.0
44,Lewis Hamilton,Mercedes,20.0,,,,4.0,Finished,12.0,5.468,2017,19,Brazilian Grand Prix,4.0
77,Valtteri Bottas,Mercedes,1.0,97.356,96.822,96.231,1.0,Finished,25.0,5654.062,2017,20,Abu Dhabi Grand Prix,1.0
44,Lewis Hamilton,Mercedes,2.0,97.391,96.742,96.403,2.0,Finished,18.0,3.899,2017,20,Abu Dhabi Grand Prix,2.0
5,Sebastian Vettel,Ferrari,3.0,97.817,97.023,96.777,3.0,Finished,15.0,19.33,2017,20,Abu Dhabi Grand Prix,3.0
3,Daniel Ricciardo,Red Bull,4.0,98.016,97.583,96.959,20.0,Hydraulics,0.0,,2017,20,Abu Dhabi Grand Prix,20.0
7,Kimi Räikkönen,Ferrari,5.0,97.453,97.302,96.985,4.0,Finished,12.0,45.386,2017,20,Abu Dhabi Grand Prix,4.0
33,Max Verstappen,Red Bull,6.0,98.021,97.777,97.328,5.0,Finished,10.0,46.269,2017,20,Abu Dhabi Grand Prix,5.0
27,Nico Hülkenberg,Renault,7.0,98.781,98.138,98.282,6.0,Finished,8.0,85.713,2017,20,Abu Dhabi Grand Prix,6.0
11,Sergio Pérez,Force India,8.0,98.601,98.359,98.374,7.0,Finished,6.0,92.062,2017,20,Abu Dhabi Grand Prix,7.0
31,Esteban Ocon,Force India,9.0,98.896,98.392,98.397,8.0,Finished,4.0,98.911,2017,20,Abu Dhabi Grand Prix,8.0
19,Felipe Massa,Williams,10.0,98.629,98.565,98.55,10.0,+1 Lap,1.0,,2017,20,Abu Dhabi Grand Prix,10.0
14,Fernando Alonso,McLaren,11.0,98.82,98.636,,9.0,+1 Lap,2.0,,2017,20,Abu Dhabi Grand Prix,9.0
55,Carlos Sainz,Renault,12.0,98.81,98.725,,19.0,Wheel,0.0,,2017,20,Abu Dhabi Grand Prix,19.0
2,Stoffel Vandoorne,McLaren,13.0,98.777,98.808,,12.0,+1 Lap,0.0,,2017,20,Abu Dhabi Grand Prix,12.0
20,Kevin Magnussen,Haas F1 Team,14.0,99.395,99.298,,13.0,+1 Lap,0.0,,2017,20,Abu Dhabi Grand Prix,13.0
18,Lance Stroll,Williams,15.0,99.503,99.646,,18.0,+1 Lap,0.0,,2017,20,Abu Dhabi Grand Prix,18.0
8,Romain Grosjean,Haas F1 Team,16.0,99.516,,,11.0,+1 Lap,0.0,,2017,20,Abu Dhabi Grand Prix,11.0
10,Pierre Gasly,Toro Rosso,17.0,99.724,,,16.0,+1 Lap,0.0,,2017,20,Abu Dhabi Grand Prix,16.0
94,Pascal Wehrlein,Sauber,18.0,99.93,,,14.0,+1 Lap,0.0,,2017,20,Abu Dhabi Grand Prix,14.0
9,Marcus Ericsson,Sauber,19.0,99.994,,,17.0,+1 Lap,0.0,,2017,20,Abu Dhabi Grand Prix,17.0
28,Brendon Hartley,Toro Rosso,20.0,100.471,,,15.0,+1 Lap,0.0,,2017,20,Abu Dhabi Grand Prix,15.0
